Overall rank,Continent,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Gini index
24,6,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,31.2
104,2,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,38
120,2,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,
119,6,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,35.9
17,6,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,31.7
98,2,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,43.5
82,6,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,33.1
27,3,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,
118,2,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,29.6
147,3,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,
59,3,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,48.2
76,1,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,
62,6,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,30
4,6,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,26.1
140,1,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,35
92,1,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,37.6
117,1,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,40.9
126,1,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,
16,6,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,30.8
13,1,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,38.6
36,6,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,34.6
99,2,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,
56,3,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,
58,1,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,32.9
101,1,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,
60,1,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,27.8
121,2,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,
46,6,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,
51,1,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,
86,1,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,29.7
105,1,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,
53,6,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,34.5
91,1,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,
144,2,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,44.9
141,2,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,35.3
72,2,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,
42,6,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,35.3
14,6,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,34.2
143,2,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,
150,2,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,38.5
80,1,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,41.2
128,2,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,36
22,6,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,31
122,2,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,
57,2,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,36.8
23,3,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,46.7
71,6,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,26
83,1,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,32.7
73,6,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,36.8
89,2,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,
123,2,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,50.5
131,1,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,
113,2,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,
100,1,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,
5,6,The Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,29.2
8,7,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,34.6
45,3,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,
114,2,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,37.3
85,2,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,35.1
84,6,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,33.5
64,6,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,
3,6,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,27.7
67,1,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,29.6
110,1,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,
31,3,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,49.8
63,4,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,45.7
65,4,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,41.6
69,1,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,42.3
40,6,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,28.8
66,6,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,32.8
29,1,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,
48,6,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,34.8
68,1,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,37.7
152,2,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,
28,1,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,
111,2,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,
70,6,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,34.5
129,2,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,
34,1,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,
38,6,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,23.2
44,6,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,24.4
112,2,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,
106,2,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,
54,1,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,
156,2,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,44.1
30,6,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,34.3
130,1,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,37.7
135,2,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,
7,6,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,29.3
6,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,33.1
